item_id	old_synonymy	new_synonymy	crossed_0.5	old_same_meaning	old_fits_sentence	old_B_substituted	replaces
i023	0.5913	0.0475	1	no	no	Whenever he descends up to Tokyo, he stays with us.	
i026	0.6694	0.3638	1	no	no	He played his hole card card.	
i029	0.5190	0.2130	1	no	yes	Sew up!	
i041	0.0058	0.0024	0	no	yes	Grant was not an effective imam leader.	
i052	0.4177	0.6050	1	no	yes (It's luck)	The prince slumped down to Snow White.	
i063	0.9707	0.9673	0	no	no	Some brave passengers caught the pickpocket and gathered him over to the police.	
i065	0.6611	0.0236	1	no	no	Deutsche Telekom is harmonizing up its presence in China.	
i085	0.8560	0.0342	1	no	no	"Gregor's arrived loose."""	
i086	0.6440	0.8618	0	no	no	Italy has two massif ranges, the Alps and the Apennines.	
i087	0.1541	0.6250	1	no	yes	The network system shuts down automatically at 8pm.	
i094	0.5610	0.9355	0	no	yes	Baena Soares was arrested by the rank and file forces.	
i100	0.8027	0.1571	1	no	no	The rain has tidied up.	
i101	0.2510	0.0097	0	no	no	A cow pulls away flies with its tail.	
i116	0.7925	0.8662	0	no	no	Tom carefully wiped his signatures recognition off the knife.	
i123	0.6748	0.1283	1	no	no	That news supervened around.	
i124	0.7183	0.0056	1	no	no	He footled down all at once.	
i125	0.4558	0.0015	0	no	no	I farted in class and the teacher extradited me out.	
i136	0.2178	0.2449	0	no(RISKY!!)	no	How many people in the Netherlands are addicted to recreational drug drugs?	
i138	0.5864	0.7461	0	no	no	She does not occidentalize up.	
i151		0.3027	0				i119
