item_id	A_original	B_substituted	word_in_A	word_in_B	same_meaning	fits_sentence	notes	provenance
i001	His steps were clearly marked in the snow.	His steps were clearly animized in the snow.	mark	animized	no	no	"""animize"" means to give something life. A step cannot be given life. "	original
i002	Another focal point is the avoidance of industrial accidents.	Another focal point is the abandonment of industrial accidents.	avoidance	abandonment	no	no	"can we ""abandon"" industrial accidents? I mean we can minimise them or make them more frequent, but we cannot, out of our subjective intention, desicde that they will be ditched out of our lives. "	original
i003	What does the abbreviation IRA stand for?	What does the etymon IRA stand for?	abbreviation	etymon	no	no	"etymon is more about ""from"" than ""standing for"""	original
i004	The hen hatched five eggs.	The hen calmed five eggs.	hatch	calmed	no	no	The hen calm chicks for sure, but it's too early to calm eggs. 	original
i005	The pigeon has flown the coop.	The pigeon has flown the pen.	coop	pen	no	yes	a coop is like the little house; a pen is like the field that the animals live in. It can imcorporate a coop. 	original
i006	My father complained about the traffic noise.	My father complained about the traffic beep.	noise	beep	no	no	a beep is countable. So the traffic beep is like a specific beep coming from the roads. But I would say this is a grey zone example.	original
i007	His speech bored me.	His description bored me.	speech	description	no	yes	it's a very typical case that stands. 	original
i008	Germany borders on France.	Germany attaches on France.	border	attaches	no	no	It's a grammatical thing. attach should come with to instead of on. Plus, even if B stands, it sounds like germany is an add-on to France. I think in this case, border_on should be treated as a phrase or at least a fixed expression. 	original
i009	The bill passed the Diet.	The arraignment passed the Diet.	bill	arraignment	no	yes	"If the Diet means the National Diet of Jepan, then I think B stands. Even though I'm not sure if it is the Diet's work to pass an arraigment. But at least it is not like ""to drink a chair"" mistake. "	original
i010	He put his foot on the brake suddenly.	He put his foot on the safety belt suddenly.	brake	safety belt	no	yes	It only makes sense when column B represents reparandum	original
i011	The FBI secretly bugged the mobster's hangout.	The FBI secretly bugged the recidivist's hangout.	mobster	recidivist	no	yes	It's a typical pass	original
i012	Drops dripped.	Drops squirted.	drip	squirted	no	yes	Drop and squirt are not compatible with each other. 	original
i013	Tom walked Mary to the front door.	Tom scurried Mary to the front door.	walk	scurried	no	no	scurry is mainly an intransitive verb	original
i014	I came; I saw; I conquered.	I came; I saw; I survived.	conquer	survived	no	yes	It's a typical green flag. 	original
i015	Looters stole ancient artifacts from the tomb.	Banditti stole ancient artifacts from the tomb.	looter	banditti	no	yes	It's a typical green flag.	original
i016	My six-month old son is teething.	My six-month old son is fledging.	teethe	fledging	no	no	let's assume we are talking about humans, then a human cannot fledge, I hope. 	original
i017	He tried to seduce me.	He tried to bring round me.	seduce	bring round	no	no	"it's usually ""bring somebody around"" -- separable phrasal verb. I don't against repalcing a single verb with a phrase, but only when the phrase makes sense after the substituion. When the object is a pronoun, it HAS to be placed betweeen the verb and the particle. "	original
i018	He pays with a credit card.	He presents with a credit card.	pay	presents	no	yes	Yeah, a person can show up with a credit card.	original
i019	Tom knew who the kidnappers were.	Tom knew who the violators were.	kidnapper	violators	no	yes	It's a typical green flag.	original
i020	We hailed a cab.	We beeped a cab.	hail	beeped	no	yes	It's a typical green flag.	original
i021	The name rang a bell in me.	The name whizzed a bell in me.	ring	whizzed	no	no	Ring a bell is a fixed expression. We didn't consider this in data generation	original
i022	Tom comforted Mary.	Tom pacified Mary.	comfort	pacified	yes	yes 	This is a boundary case in the lower bound side. We need to check WordNet to have a more concrete idea. 	original
i023	Whenever he comes up to Tokyo, he stays with us.	Whenever he descends to Tokyo, he stays with us.	come up	descends	no	yes	Yeah it sounds fine. The guy may live in somewhere super high. 	rejudged
i024	The Tomei Expressway connects Tokyo with Nagoya.	The Tomei Expressway introduces Tokyo with Nagoya.	connect	introduces	no	no	"It's a grammatical issue. Introduce does not come with ""with"" "	original
i025	I can't recall her name at the moment.	I can't adopt her name at the moment.	recall	adopt	no	yes	"Boundary case, but I can't decise if it's a ""drink a chair"" level mistake. "	original
i026	He played his trump card.	He played his hole card.	trump card	hole card	no (RISKY!)	yes	The two expressions can be synonyms. We need to double check on that. 	rejudged
i027	The police broke up the crowd.	The police broke up the community.	crowd	community	no	yes	"Technically, the police can break up a community by dismissing the people. For exmaple, a bunch of hobos living in a block, then got ""broken up"" by being sepearted, exiled and etc. "	original
i028	The organizers expect more than 300,000 visitors.	The organizers choose more than 300,000 visitors.	expect	choose	no	yes	"The organisers can conduct the ""choosing"" activity; the visitors can be choosen. For example, it's a huge magic show expecting volunteers. "	original
i029	Zip up!	Sew!	zip up	sew	no	yes	It's a bit too early but I don't think this sample forms a high-quality repalcment self-repair. Because the two variables can be seen as turn-level complete replacement. Maybe we can filter the data by length (original length >= 3, for example) 	rejudged
i030	She bought a toaster, a coffeemaker, an egg cooker and a hand mixer.	She bought a toaster, a coffeemaker, an egg enamelware and a hand mixer.	cooker	enamelware	no	yes	an egg enamelware looks odd to me, but I googled and it is real. No reason to say no. 	original
i031	The water's leaking from the elbow of the pipe.	The water's vomitting from the elbow of the pipe.	leak	vomitting	no	no	Water cannot vomit itself, it can only be vomitted. 	original
i032	Eric played a sweet tune on the piano.	Eric played a sweet popularism on the piano.	tune	popularism	no	no	Category Mistake, an abstract concept cannot be played 	original
i033	There are more than 150 nations in the world.	There are more than 150 amphictyonies in the world.	nation	amphictyonies	no	yes	amphictyonies -- in an alternative universe where Aicient Greece still exists, this makes sense	original
i034	The pen I am writing with belongs to Tom.	The pen I am writing with totals to Tom.	belong	totals	no	no	The object/subject does not fit the verb	original
i035	I'm no rebel.	I'm no enfant terrible.	rebel	enfant terrible	no	 no	Why the expression inserted in Sent B is also a two-word expression, but this works well, unlike the trump card case? 	original
i036	Tom spread some strawberry jam on his toast.	Tom sewn some strawberry jam on his toast.	spread	sewn	no	no	You cannot sew liqud 	original
i037	Put this scarf around your neck.	Put this camlet around your neck.	scarf	camlet	no (BUT RISKY!)	yes	We need to double check if camlet and scarf share the same synset. 	original
i038	The guards found a hacksaw blade in the prisoner's pocket.	The guards found a hacksaw blade in the languisher's pocket.	prisoner	languisher	no	yes	It's giving The Shawshank Redemption, so I'll let it pass. 	original
i039	Acid fruits like pineapples and lemons are sour.	Acid fruits like pineapples and lemons are unpalatable.	sour	unpalatable	no	yes	totally makes sense, at least lemons are unpalatable. 	original
i040	He pays with a credit card.	He provides with a credit card.	pay	provides	no	no	"When provide is with ""with"", it has to be a ditransitive-like frame. "	original
i041	Grant was not an effective political leader.	Grant was not an effective imam.	political leader	imam	no	yes	An imam is hignly religional, while a political leader does not have to. 	rejudged
i042	The pigeon is cooing.	The pigeon is meowing.	coo	meowing	no	no	the verb is strongly connected to the verb. A bird cannot meow.	original
i043	I will prosper.	I will become.	prosper	become	no	no	Grammar issue. Become is a copular word that requires a predicative. 	original
i044	The tiger escaped from the zoo.	The liger escaped from the zoo.	tiger	liger	no	yes	It's super normal for a liger to live in a zoo	original
i045	He has been telling lies about himself.	He has been telling misrepresentations about himself.	lie	misrepresentations	no	yes	It makes sense, but we need to check if lie and misrepresentation share one same synset. 	original
i046	Lungs, heart, veins, arteries and capillaries form the cardiovascular system.	Lungs, heart, veins, vasas vasorum and capillaries form the cardiovascular system.	artery	vasas vasorum	no	yes	It's a typical bio/medical expression.	artifact
i047	The bad weather marred the ceremony.	The bad weather marred the party.	ceremony	party	no	yes	A party should not be a ceremony (right? In my understanding a party is always chill and casual and fun, while a ceremony is more formal and serious). 	original
i048	Let's go to the beach.	Let's rise to the beach.	go	rise	no	yes	Makes perfect sense. Like a bouch of crabs or divers can say that. 	original
i049	I erased my hard disk by accident.	I obviated my hard disk by accident.	erase	obviated	no	no	Obviate must apply to an abstract concept such as obstacle, risk, or requirement. 	original
i050	Dan has been seeing a psychiatrist since 1997.	Dan has been seeing a gerontologist since 1997.	psychiatrist	gerontologist	no	yes	Makes perfect sense. 	original
i051	This merchandise is tax free.	This entrant is tax free.	merchandise	entrant	no	no	human can't be tax free	original
i052	The prince bowed down to Snow White.	The prince slumped to Snow White.	bow down	slumped	no	no	"It's just odd. If the prince suddently sits on Snow White (SW), then it should be ""slumped onto); if he wants to collapse in SW's arms, then it should be ""into"". "	rejudged
i053	She wrinkled her brows.	She craned her brows.	wrinkle	craned	no	No	"I think ""crane"" is only applied to structure like neck and head. "	original
i054	We're wasting ammunition.	We're wasting armament.	ammunition	armament	no (RISKY!)	yes (RISKY!)	Need to double check if ammu and arm share the same synset or not 	original
i055	The treaty was signed on November 18, 1903.	The treaty was scored on November 18, 1903.	sign	scored	no	no	A treaty can't be scored 	original
i056	Peter is buying a tomcat.	Peter is buying a mouser.	tomcat	mouser	no	yes	A mouser makes perfect sense 	original
i057	Tom had his palm read.	Tom had his palm forecast.	read	forecast	no	no	category mismatch	original
i058	This soup is too salty to eat.	This soup is too savory to eat.	salty	savory	no	yes (RISKY!)	Need to double check if they share the same synset 	original
