id,sentence,modal_text,modal_lemma,negated,ought_to,POSSIBILITY,NECESSITY,TSU,NEGATION,has_separator,modal_relevant_ops,sbn
p57/d2339,The peace treaty will be signed tomorrow.,will,will,,,,,Y,,,TSU,peace_treaty.n.01 time.n.08 TSU now sign.v.02 Theme -2 Time -1 Time +1 time.n.08 TIN +2 day.n.03 TCT now TAB +1 day.n.03
p81/d1985,Naoko can run fast.,can,can,,,Y,,,,,POSSIBILITY,"female.n.02 Name ""Naoko"" POSSIBILITY <1 run.v.01 Theme -1 Manner +1 fast.r.01"
p80/d3459,This classroom can accommodate only thirty students.,can,can,,,Y,,,,,POSSIBILITY,classroom.n.01 POSSIBILITY <1 accommodate.v.04 Theme -1 Value +3 quantity.n.01 TOP +1 quantity.n.01 EQU 30 person.n.01 Quantity -2 Role +1 student.n.01
p01/d2124,I can't beat Tom at chess.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,"person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 beat.v.01 Agent -1 Co-Agent +1 Theme +2 male.n.02 Name ""Tom"" chess.n.02"
p67/d1533,Can you turn on the air conditioning?,Can,can,,,Y,,,,,POSSIBILITY,POSSIBILITY <1 person.n.01 EQU hearer turn_on.v.01 Agent -1 Patient +1 air_conditioning.n.01
p05/d3224,I can't speak German at all.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 german.n.02
p40/d2339,I'll foot the bill.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now foot.v.01 Agent -2 Time -1 Theme +1 bill.n.02
p93/d0842,He will never visit the town again.,will,will,neg,,,,Y,Y,,NEGATION;TSU,male.n.02 NEGATION <1 time.n.08 TSU now visit.v.01 Agent -2 Time -1 Theme +1 town.n.01
p70/d2958,The trip will take approximately five hours.,will,will,,,,,Y,,,TSU,trip.n.01 time.n.08 TSU now take.v.02 Theme -2 Time -1 Value +2 quantity.n.01 APX 5 hour.n.01 Quantity -1
p04/d0830,Nobody can solve this problem.,can,can,,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 person.n.01 POSSIBILITY <1 solve.v.01 Agent -1 Theme +1 problem.n.02
p63/d2848,I'll take back everything I said.,'ll,will,,,,,Y,Y,Y,CONJUNCTION;NEGATION;TSU,person.n.01 EQU speaker NEGATION <1 NEGATION <1 time.n.08 TSU now take_back.v.05 Agent -2 Time -1 Theme +1 CONJUNCTION <2 entity.n.01 person.n.01 EQU speaker say.v.01 Topic -2 Agent -1 Time +1 time.n.08 TPR now
p00/d3233,The doctor told Tom that he should eat a lot of vegetables.,should,should,,,,Y,,,Y,CONTINUATION;NECESSITY,"person.n.01 Role +1 doctor.n.01 tell.v.02 Proposition >1 Agent -2 Time +1 Recipient +2 time.n.08 TPR now male.n.02 Name ""Tom"" CONTINUATION <0 male.n.02 ANA -1 NECESSITY <1 eat.v.01 Agent -1 Patient +1 entity.n.01 Quantity + EQU +1 vegetable.n.01"
p40/d0241,We could do something big.,could,could,,,Y,,,,,POSSIBILITY,person.n.01 Sub speaker POSSIBILITY <1 do.v.02 Agent -1 Theme +1 entity.n.01 Attribute +1 big.a.02
p96/d2124,You can't deny her anything.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU hearer NEGATION <1 POSSIBILITY <1 deny.v.04 Agent -1 Recipient +1 Theme +2 female.n.02 entity.n.01
p03/d1411,Tom can't drive yet.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,"male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 drive.v.01 Agent -1"
p58/d1526,"If the ceiling fell, he would be crushed.",would,would,,,,,Y,,Y,CONSEQUENCE;TSU,ceiling.n.01 fall.v.01 Theme -1 Time +1 time.n.08 TPR now CONSEQUENCE <1 male.n.02 time.n.08 TSU now crush.v.02 Patient -2 Time -1
p12/d2112,"If I don't have a bow, I can't play the violin.",ca,can,neg,,Y,,,Y,Y,CONSEQUENCE;NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.01 Pivot -2 Time -1 Theme +1 bow.n.02 CONSEQUENCE <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 play.v.07 Agent -1 Theme +1 violin.n.01
p26/d2570,One cannot trust surveys.,can,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 person.n.01 NEGATION <1 NEGATION <1 POSSIBILITY <1 trust.v.01 Experiencer -1 Stimulus +1 survey.n.01
p40/d1950,It will be a masterpiece!,will,will,,,,,Y,,,TSU,entity.n.01 time.n.08 TSU now be.v.01 Theme -2 Time -1 Co-Theme +1 masterpiece.n.01
