id	nl	mr	repair_head_sbn	repair_head_smatch	repair_mid_sbn	repair_mid_smatch	repair_tail_sbn	repair_tail_smatch	repair_interrug_sbn	repair_interrug_smatch	repair_head_nl	repair_mid_nl	repair_tail_nl	repair_interrug_nl
p17/d0758	Philip Morris said it sold 201 bn cigarettes world-wide during the quarter.	company.n.01 Name \\\"Philip Morris\\\" say.v.02 Proposition >1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <0 entity.n.01 ANA -3 sell.v.01 Agent -1 Time +1 Theme +3 Manner +4 Duration +5 time.n.08 TPR now quantity.n.01 EQU 201000000000 cigarette.n.01 Quantity -1 world-wide.a.01 quarter.n.06									RJ Reynolds, Philip Morris said it sold 201 bn cigarettes world-wide during the quarter.	Philip Morris said it sold 199 bn, 201 bn cigarettes world-wide during the quarter.	Philip Morris said it sold 201 bn cigars, cigarettes world-wide during the quarter.	Philip Morris said it sold 199 bn, I mean, 201 bn cigarettes world-wide during the quarter.
p60/d1674	My house is on the south bank of the Thames. 	person.n.01 EQU speaker house.n.01 User -1 be.v.03 Theme -1 Time +1 Location +3 time.n.08 EQU now south.a.01 Theme +1 bank.n.01 PartOf +1 river.n.01 Name \\\"Thames\\\"									Your house, my house is on the south bank of the Thames.	My house is on the north, the south bank of the Thames.	My house is on the north bank, the south bank of the Thames.	My house is on the north, I mean, the south bank of the Thames.
p05/d1390	Which female tennis player was stabbed in the back with a knife on April 30, 1993? 	female.n.02 AttributeOf +1 person.n.01 Name ? Role +1 tennis_player.n.01 time.n.08 TPR now stab.v.01 Patient -3 Time -1 Location +1 Instrument +2 Time +4 back.n.01 knife.n.02 time.n.08 MonthOfYear 4 EQU +1 time.n.08 DayOfMonth 30 EQU +1 time.n.08 YearOfCentury 1993									Which male, female tennis player was stabbed in the back with a knife on April 30, 1993? 	Which female tennis player was stabbed in the chest, in the back with a knife on April 30, 1993?	Which female tennis player was stabbed in the back with a spoon, a knife on April 30, 1993?	Which female tennis player was stabbed in the chest, I mean, in the back with a knife on April 30, 1993?
p45/d3109	The boy that you met at the park is adopted. 	boy.n.01 person.n.01 EQU hearer meet.v.08 Co-Agent -2 Agent -1 Time +1 Location +2 time.n.08 TPR now park.n.02 time.n.08 EQU now adopt.v.05 Theme -6 Time -1									The girl, the boy that you met at the park is adopted.	The boy that I, you met at the park is adopted.	The boy that you met at the park is fostered, adopted.	The boy that I, I mean, you met at the park is adopted.
p20/d1983	Mrs. Bruce was the first female pilot to fly between England and Japan. 	mrs.n.01 female.n.02 Name \\\"Bruce\\\" Title -1 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now female.n.02 Order 1 Role +2 person.n.01 EQU -1 pilot.n.01 fly.v.03 Theme -2 Location +1 location.n.01 SY2 +2 country.n.02 Name \\\"England\\\" entity.n.01 Sub -1 Sub +1 country.n.02 Name \\\"Japan\\\"									Mrs. Anderson, Mrs. Bruce was the first female pilot to fly between England and Japan.	Mrs. Bruce was the first male, female pilot to fly between England and Japan.	Mrs. Bruce was the first female pilot to fly between France, England and Japan.	Mrs. Bruce was the first male, I mean, female pilot to fly between England and Japan.
p00/d0798	It took me two hours to memorize this sentence. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 2 hour.n.01 Quantity -1 memorize.v.01 Time -4 Agent -3 Duration -1 Topic +1 sentence.n.01									It wasted, took me two hours to memorize this sentence.	It took me three, two hours to memorize this sentence.	It took me two hours to memorize this paragraph, this sentence.	It took me three, I mean, two hours to memorize this sentence.
p79/d1244	The police estimates the loss at around two million DM. 	police.n.01 estimate.v.01 Agent -1 Time +1 Theme +2 Value +4 time.n.08 EQU now loss.n.01 quantity.n.01 APX 2000000 deutsche_mark.n.01 Quantity -1									The army, the police estimates the loss at around two million DM.	The police estimates the damage, the loss at around two million DM.	The police estimates the loss at around two million euros, DM.	The police estimates the damage, I mean, the loss at around two million DM.
p03/d2053	Japan has been sending athletes to the Olympics since 1912. 	state.n.04 Name \\\"Japan\\\" time.n.08 TPR now send.v.01 Agent -2 Time -1 Theme +1 Destination +3 Start +4 person.n.01 Role +1 athlete.n.01 olympics.n.01 time.n.08 YearOfCentury 1912									China, Japan has been sending athletes to the Olympics since 1912.	Japan has been sending engineers, athletes to the Olympics since 1912.	Japan has been sending athletes to the Paralympics, the Olympics since 1912.	Japan has been sending engineers, I mean, athletes to the Olympics since 1912.
p57/d2966	Her chastity belt set off the metal detector at the airport. 	female.n.02 chastity.n.01 belt.n.02 User -2 Goal -1 set_off.v.01 Causer -1 Time +1 Theme +2 Location +3 time.n.08 TPR now metal_detector.n.01 airport.n.01									His, her chastity belt set off the metal detector at the airport.	Her chastity belt set off the fire alarm, the metal detector at the airport.	Her chastity belt set off the fire alarm, the metal detector at the airport.	Her chastity belt set off the fire alarm, I mean, the metal detector at the airport.
p13/d3491	A lot of people are dealing with allergies now. 	entity.n.01 Quantity + EQU +1 person.n.01 time.n.08 EQU now deal.v.04 Agent -3 Time -1 Theme +1 Time +2 allergy.n.01 time.n.08 EQU now									A lot of animal, people are dealing with allergies now.	A lot of people are  getting, are dealing with allergies now.	A lot of people are dealing with colds, allergies now.	A lot of people are getting, I mean, are dealing with allergies now.
p90/d2399	I ran away from home when I was thirteen. 	person.n.01 EQU speaker run_away.v.01 Theme -1 Time +1 Source +2 time.n.08 TPR now home.n.01 person.n.01 EQU speaker time.n.08 TPR now old.a.01 AttributeOf -2 TIN -5 Time -1 Value +1 measure.n.02 Quantity 13 Unit +1 year.n.01									I ran away from home when I was thirteen.	I ran away from school, home when I was thirteen.	I ran away from school, home when I was thirteen.	I ran away from school, I mean, home when I was thirteen.
p78/d2341	Tom flipped over the card and saw that it was the ace of spades. 	male.n.02 Name \\\"Tom\\\" flip_over.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now card.n.01 see.v.01 Proposition >1 Experiencer -4 Time +1 time.n.08 TPR now CONTINUATION <0 entity.n.01 ANA -3 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now ace.n.02 SubOf +1 spade.n.01									Jerry, Tom flipped over the card and saw that it was the ace of spades.	Tom flipped over the queen, the card and saw that it was the ace of spades.	Tom flipped over the card and saw that it was the ace of hearts, the ace of spades.	Tom flipped over the queen, I mean, the card and saw that it was the ace of spades.
p80/d2136	As soon as Tom heard the phone, he answered it. 	male.n.02 Name \\\"Tom\\\" hear.v.01 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now phone.n.01 CONTINUATION <1 male.n.02 ANA -4 answer.v.02 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 ANA -4									As far as, as soon as Tom heard the phone, he answered it.	As soon as Nick, Tom heard the phone, he answered it.	As soon as Tom heard the phone, he answered it, the door.	As soon as Nick, I mean, Tom heard the phone, he answered it.
p87/d2198	All of a sudden, a fire broke out in the movie theater. 	all_of_a_sudden.r.02 fire.n.01 break_out.v.01 Manner -2 Theme -1 Time +1 Location +2 time.n.08 TPR now movie_theater.n.01									Gradually, all of a sudden, a fire broke out in the movie theater.	All of a sudden, a flood, a fire broke out in the movie theater.	All of a sudden, a fire broke out in the concert hall, the movie theater.	All of a sudden, a flood, I mean, a fire broke out in the movie theater.
p90/d2068	Pochi and Moko are in the kennel, and other dogs are playing in the garden. 	animal.n.01 Name \\\"Pochi\\\" entity.n.01 Sub -1 Sub +1 animal.n.01 Name \\\"Moko\\\" be.v.03 Theme -2 Time +1 Location +2 time.n.08 EQU now kennel.n.01 CONTINUATION <1 dog.n.01 NEQ +1 dog.n.01 time.n.08 EQU now play.v.05 Agent -2 Time -1 Location +1 garden.n.03									Pochi and Tofu, Moko are in the kennel, and other dogs are playing in the garden.	Pochi and Moko are in the yard, the kennel, and other dogs are playing in the garden.	Pochi and Moko are in the kennel, and other dogs are playing in the yard, the garden.	Pochi and Moko are in the yard, I mean, the kennel, and other dogs are playing in the garden.
p64/d2961	The mountains in the Himalayas are higher than those in the Andes. 	mountain.n.01 Location +1 range.n.04 Name \\\"Himalayas\\\" time.n.08 EQU now high.a.02 AttributeOf -3 Time -1 Degree +1 more.r.01 Theme -4 Co-Theme +1 mountain.n.01 Location +1 range.n.04 Name \\\"Andes\\\"									The lakes, the mountains in the Himalayas are higher than those in the Andes.	The mountains in the Alps, the Himalayas are higher than those in the Andes.	The mountains in the Himalayas are higher than those in the Alps, the Andes.	The mountains in the Alps, I mean, the Himalayas are higher than those in the Andes.
p67/d2005	Money and I are strangers; in other words, I am poor. 	money.n.01 entity.n.01 Sub -1 Sub +1 person.n.01 EQU speaker be.v.01 Theme -2 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 stranger.n.01 CONTINUATION <1 person.n.01 EQU speaker time.n.08 EQU now poor.a.02 AttributeOf -2 Time -1									Money and I are strangers; in other words, I am poor.	Money and I are lovers, strangers; in other words, I am poor.	Money and I are strangers; in other words, I am rich, poor.	Money and I are lovers, I mean, strangers; in other words, I am poor.
