item_id	synonymy	contradiction	neutral	repair_pos	repair_synset	reparandum_synset	doc_id	concept_pos
i001	0.4272	0.4988	0.012	v	mark.v.05	animize.v.01	p40/d0828	4
i002	0.2651	0.6895	0.0125	n	avoidance.n.01	abandonment.n.01	p90/d1195	4
i003	0.8408	0.0956	0.0348	n	abbreviation.n.01	etymon.n.01	p38/d1387	2
i004	0.4446	0.1434	0.071	v	hatch.v.05	calm.v.01	p35/d3270	1
i005	0.084	0.9004	0.0158	n	coop.n.02	pen.n.02	p74/d2526	3
i006	0.2588	0.0058	0.0048	n	noise.n.01	beep.n.01	p50/d3146	6
i007	0.5415	0.0353	0.3115	n	speech.n.01	description.n.02	p03/d1600	1
i008	0.4326	0.4294	0.1379	v	border.v.05	attach.v.02	p20/d0788	1
i009	0.9668	0.0103	0.0137	n	bill.n.01	arraignment.n.01	p09/d1960	0
i010	0.1365	0.6235	0.2401	n	brake.n.01	safety_belt.n.01	p54/d2254	5
i011	0.6016	0.3447	0.0536	n	mobster.n.01	recidivist.n.01	p94/d3317	5
i012	0.6777	0.1565	0.0439	v	drip.v.01	squirt.v.01	p01/d2256	1
i013	0.7871	0.0375	0.0233	v	walk.v.02	scurry.v.01	p47/d2862	1
i014	0.6748	0.0226	0.0762	v	conquer.v.03	survive.v.02	p20/d2049	7
i015	0.895	0.0127	0.0061	n	looter.n.01	bandit.n.01	p64/d3384	1
i016	0.2224	0.0618	0.079	v	teethe.v.01	fledge.v.03	p97/d2871	7
i017	0.4412	0.0022	0.0348	v	seduce.v.01	bring_round.v.01	p08/d3492	3
i018	0.3904	0.1454	0.2245	v	pay.v.01	present.v.04	p94/d2497	1
i019	0.0041	0.001	0.0059	n	kidnapper.n.01	violator.n.01	p05/d2473	5
i020	0.6938	0.0146	0.0064	v	hail.v.03	beep.v.02	p13/d1148	1
i021	0.729	0.1586	0.0067	v	ring.v.03	whizz.v.01	p65/d3133	1
i022	0.9946	0.0004	0.004	v	comfort.v.01	pacify.v.01	p89/d2072	1
i023	0.5913	0.3552	0.0071	v	come_up.v.03	descend.v.01	p12/d3353	1
i024	0.2118	0.6709	0.0942	v	connect.v.03	introduce.v.01	p45/d2585	1
i025	0.7495	0.1266	0.0748	v	recall.v.01	adopt.v.01	p28/d1660	1
i026	0.6694	0.1182	0.0732	n	trump_card.n.01	hole_card.n.02	p41/d2824	4
i027	0.8711	0.0192	0.0787	n	crowd.n.01	community.n.01	p27/d2192	3
i028	0.4143	0.3	0.2561	v	expect.v.01	choose.v.03	p02/d1229	2
i029	0.519	0.0565	0.0746	v	zip_up.v.01	sew.v.01	p77/d1500	1
i030	0.3184	0.0406	0.0185	n	cooker.n.01	enamelware.n.01	p56/d3086	6
i031	0.1387	0.3525	0.0256	v	leak.v.03	vomit.v.01	p21/d1845	2
i032	0.0073	0.0017	0.0111	n	tune.n.01	popularism.n.01	p27/d2351	4
i033	0.2374	0.6821	0.0569	n	nation.n.01	amphictyony.n.01	p01/d3352	5
i034	0.9033	0.0202	0.0141	v	belong.v.01	total.v.01	p75/d2844	4
i035	0.3457	0.0029	0.626	n	rebel.n.03	enfant_terrible.n.01	p38/d1683	4
