doc_id	nl_clean	nl_repair	sbn_clean	sbn_repair	repair_pos	reparandum_synset	repair_synset	reparandum_surface	interregnum	strategy	devices	dropped_roles	max_abs_index	separator_in_tail	inflection_confident
p50/d0779	The movie starts at ten o'clock.	The performance, actually, movie starts at ten o'clock.	movie.n.01 start.v.01 Theme -1 Time +1 Time +2 time.n.08 TSU now time.n.08 ClockTime 22:00	entity.n.01 CORRECTION <1 performance.n.01 EQU -1 CONJUNCTION <2 % actually movie.n.01 EQU -2 start.v.01 Theme -3 Time +1 Time +2 time.n.08 TSU now time.n.08 ClockTime 22:00	n	performance.n.01	movie.n.01	performance	actually	anchor	d5_anchor_dummy		3	0	1
p50/d0779	The movie starts at ten o'clock.	The movie begins, no, starts at ten o'clock.	movie.n.01 start.v.01 Theme -1 Time +1 Time +2 time.n.08 TSU now time.n.08 ClockTime 22:00	movie.n.01 CORRECTION <1 begin.v.10 Theme -1 CONJUNCTION <2 % no start.v.01 Theme -2 Time +1 Time +2 time.n.08 TSU now time.n.08 ClockTime 22:00	v	begin.v.10	start.v.01	begins	no	inplace	d1_drop_role	Time|Time	2	0	1
p36/d2375	The cause of the accident is unknown.	The cause of the derailment, of the accident is unknown.	cause.n.01 CauserOf +1 accident.n.01 time.n.08 EQU now unknown.a.01 AttributeOf -3 Time -1	cause.n.01 CauserOf +1 entity.n.01 CORRECTION <1 derailment.n.01 EQU -1 CONJUNCTION <2 accident.n.01 EQU -2 time.n.08 EQU now unknown.a.01 AttributeOf -5 Time -1	n	derailment.n.01	accident.n.01	derailment		anchor	d5_anchor_dummy		5	0	1
p36/d2375	The cause of the accident is unknown.	The preliminary, that is, cause of the accident is unknown.	cause.n.01 CauserOf +1 accident.n.01 time.n.08 EQU now unknown.a.01 AttributeOf -3 Time -1	entity.n.01 CORRECTION <1 preliminary.n.02 EQU -1 CONJUNCTION <2 % that is cause.n.01 CauserOf +1 EQU -2 accident.n.01 time.n.08 EQU now unknown.a.01 AttributeOf -5 Time -1	n	preliminary.n.02	cause.n.01	preliminary	that is	anchor	d5_anchor_dummy|d1_drop_role	CauserOf	5	0	1
p82/d1532	She sucks up to the teacher.	She sucks up to the principal, in fact, teacher.	female.n.02 suck_up.v.02 Agent -1 Time +1 Theme +2 time.n.08 EQU now person.n.01 Role +1 teacher.n.01	female.n.02 suck_up.v.02 Agent -1 Time +1 Theme +2 time.n.08 EQU now person.n.01 Role +1 entity.n.01 CORRECTION <1 principal.n.02 EQU -1 CONJUNCTION <2 % in fact teacher.n.01 EQU -2	n	principal.n.02	teacher.n.01	principal	in fact	anchor	d5_anchor_dummy		2	0	1
p79/d3472	It was rather boring.	It was rather uninteresting, boring.	entity.n.01 time.n.08 TPR now rather.r.02 boring.a.01 Result -3 Time -2 Degree -1	entity.n.01 time.n.08 TPR now rather.r.02 CORRECTION <1 uninteresting.a.01 Result -3 Time -2 Degree -1 CONJUNCTION <2 boring.a.01 Result -4 Time -3 Degree -2	a	uninteresting.a.01	boring.a.01	uninteresting		inplace			4	0	1
p42/d1468	Let's sit in the shade.	Let's sit in the gloom, shade.	time.n.08 TSU now person.n.01 EQU speaker sit.v.01 Time -2 Theme -1 Location +1 shade.n.01	time.n.08 TSU now person.n.01 EQU speaker sit.v.01 Time -2 Theme -1 Location +1 entity.n.01 CORRECTION <1 gloom.n.01 EQU -1 CONJUNCTION <2 shade.n.01 EQU -2	n	gloom.n.01	shade.n.01	gloom		anchor	d5_anchor_dummy		2	0	1
p42/d1468	Let's sit in the shade.	Let's seat, sorry, sit in the shade.	time.n.08 TSU now person.n.01 EQU speaker sit.v.01 Time -2 Theme -1 Location +1 shade.n.01	time.n.08 TSU now person.n.01 EQU speaker CORRECTION <1 seat.v.01 Time -2 Theme -1 CONJUNCTION <2 % sorry sit.v.01 Time -3 Theme -2 Location +1 shade.n.01	v	seat.v.01	sit.v.01	seat	sorry	inplace	d1_drop_role	Location	3	0	1
p70/d3477	He was born in America.	He was sporulated, sorry, born in America.	"male.n.02 time.n.08 TPR now bear.v.02 Patient -2 Time -1 Location +1 country.n.02 Name ""America"""	"male.n.02 time.n.08 TPR now CORRECTION <1 sporulate.v.01 Patient -2 Time -1 CONJUNCTION <2 % sorry bear.v.02 Patient -3 Time -2 Location +1 country.n.02 Name ""America"""	v	sporulate.v.01	bear.v.02	sporulated	sorry	inplace	d1_drop_role	Location	3	0	1
p37/d2362	I'm still kind of thirsty.	I'm still kind of hungry, no wait, thirsty.	person.n.01 EQU speaker time.n.08 EQU now kind_of.r.01 thirsty.a.02 Experiencer -3 Time -2 Degree -1	person.n.01 EQU speaker time.n.08 EQU now kind_of.r.01 CORRECTION <1 hungry.a.01 Experiencer -3 Time -2 Degree -1 CONJUNCTION <2 % no wait thirsty.a.02 Experiencer -4 Time -3 Degree -2	a	hungry.a.01	thirsty.a.02	hungry	no wait	inplace			4	0	1
p41/d2052	I saw Tom three hours ago.	I saw Tom three days, hours ago.	"person.n.01 EQU speaker see.v.01 Experiencer -1 Time +1 Stimulus +2 Time +5 time.n.08 TPR now male.n.02 Name ""Tom"" quantity.n.01 EQU 3 hour.n.01 Quantity -1 TAB now time.n.08 TAB -1"	"person.n.01 EQU speaker see.v.01 Experiencer -1 Time +1 Stimulus +2 Time +6 time.n.08 TPR now male.n.02 Name ""Tom"" quantity.n.01 EQU 3 CORRECTION <1 day.n.01 Quantity -1 TAB now CONJUNCTION <2 hour.n.01 Quantity -2 TAB now time.n.08 TAB -1"	n	day.n.01	hour.n.01	days		inplace	retarget_to_repair		6	0	1
p41/d2052	I saw Tom three hours ago.	I watched, actually, saw Tom three hours ago.	"person.n.01 EQU speaker see.v.01 Experiencer -1 Time +1 Stimulus +2 Time +5 time.n.08 TPR now male.n.02 Name ""Tom"" quantity.n.01 EQU 3 hour.n.01 Quantity -1 TAB now time.n.08 TAB -1"	"person.n.01 EQU speaker CORRECTION <1 watch.v.03 Experiencer -1 CONJUNCTION <2 % actually see.v.01 Experiencer -2 Time +1 Stimulus +2 Time +5 time.n.08 TPR now male.n.02 Name ""Tom"" quantity.n.01 EQU 3 hour.n.01 Quantity -1 TAB now time.n.08 TAB -1"	v	watch.v.03	see.v.01	watched	actually	inplace	d1_drop_role	Time|Stimulus|Time	5	0	1
p18/d1992	Sixty new museums opened.	Sixty current, actually, new museums opened.	quantity.n.01 EQU 60 new.a.01 AttributeOf +1 museum.n.01 Quantity -2 open.v.02 Theme -1 Time +1 time.n.08 TPR now	quantity.n.01 EQU 60 museum.n.01 Quantity -1 CORRECTION <1 current.a.01 AttributeOf -1 CONJUNCTION <2 % actually new.a.01 AttributeOf -2 open.v.02 Theme -3 Time +1 time.n.08 TPR now	a	current.a.01	new.a.01	current	actually	hoist	d4_movement		3	0	1
p18/d1992	Sixty new museums opened.	Sixty new storehouses, that is, museums opened.	quantity.n.01 EQU 60 new.a.01 AttributeOf +1 museum.n.01 Quantity -2 open.v.02 Theme -1 Time +1 time.n.08 TPR now	quantity.n.01 EQU 60 new.a.01 AttributeOf +2 CORRECTION <1 storehouse.n.01 Quantity -2 CONJUNCTION <2 % that is museum.n.01 Quantity -3 open.v.02 Theme -1 Time +1 time.n.08 TPR now	n	storehouse.n.01	museum.n.01	storehouses	that is	inplace	retarget_to_repair		3	0	1
p95/d3092	Did you bring a hair dryer?	Did you bring, I mean to say, bring a hair dryer?	time.n.08 TPR now person.n.01 EQU hearer bring.v.01 Time -2 Agent -1 Theme +1 hair_dryer.n.01	time.n.08 TPR now person.n.01 EQU hearer CORRECTION <1 bring.v.04 Time -2 Agent -1 CONJUNCTION <2 % I mean to say bring.v.01 Time -3 Agent -2 Theme +1 hair_dryer.n.01	v	bring.v.04	bring.v.01	bring	I mean to say	inplace	d1_drop_role	Theme	3	0	1
p95/d3092	Did you bring a hair dryer?	Did you bring a bellows, hair dryer?	time.n.08 TPR now person.n.01 EQU hearer bring.v.01 Time -2 Agent -1 Theme +1 hair_dryer.n.01	time.n.08 TPR now person.n.01 EQU hearer bring.v.01 Time -2 Agent -1 CORRECTION <1 bellows.n.01 ThemeOf -1 CONJUNCTION <2 hair_dryer.n.01 ThemeOf -2	n	bellows.n.01	hair_dryer.n.01	bellows		inplace	d2_invert_role		2	0	1
p48/d0795	Jim is not a lawyer but a doctor.	Jim is not an educator, lawyer but a doctor.	"male.n.02 Name ""Jim"" NEGATION <1 be.v.08 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 lawyer.n.01 CONTRAST <1 be.v.08 Theme -5 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 doctor.n.01"	"male.n.02 Name ""Jim"" NEGATION <1 be.v.08 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 entity.n.01 CORRECTION <1 educator.n.01 EQU -1 CONJUNCTION <2 lawyer.n.01 EQU -2 CONTRAST <3 be.v.08 Theme -7 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 doctor.n.01"	n	educator.n.01	lawyer.n.01	educator		anchor	d5_anchor_dummy		7	1	1
