id,sentence,match,sbn
p47/d2658,I used to live in a village.,used to,person.n.01 EQU speaker time.n.08 TPR now live.v.01 Theme -2 Time -1 Location +1 village.n.02
p91/d3518,I used to be a dancer.,used to,person.n.01 EQU speaker time.n.08 TPR now be.v.08 Theme -2 Time -1 Co-Theme +1 person.n.01 Role +1 dancer.n.01
p52/d3204,Tom used to be a soldier.,used to,"male.n.02 Name ""Tom"" time.n.08 TPR now be.v.08 Theme -2 Time -1 Co-Theme +1 person.n.01 Role +1 soldier.n.01"
p49/d3554,She used to live in Tel Aviv.,used to,"female.n.02 time.n.08 TPR now live.v.01 Theme -2 Time -1 Location +1 city.n.01 Name ""Tel Aviv"""
p34/d3238,Tom used to be a long distance truck driver.,used to,"male.n.02 Name ""Tom"" time.n.08 TPR now be.v.08 Theme -2 Time -1 Co-Theme +3 long.a.01 Value + distance.n.01 person.n.01 Goal -2 Role +1 truck_driver.n.01 Theme -2"
p12/d3297,He used to drink beer.,used to,male.n.02 time.n.08 TPR now drink.v.01 Agent -2 Time -1 Patient +1 beer.n.01
p88/d2105,There used to be a lot of frogs in this pond.,used to,entity.n.01 time.n.08 TPR now be.v.03 Time -1 EQU -2 Theme +1 Location +3 entity.n.01 Quantity + EQU +1 frog.n.01 pond.n.01
p70/d2278,The voyage from England to India used to take 6 months.,used to,"voyage.n.01 Source +1 Destination +2 country.n.02 Name ""England"" country.n.02 Name ""India"" time.n.08 TPR now take.v.02 Theme -4 Time -1 Value +2 quantity.n.01 EQU 6 month.n.01 Quantity -1"
p63/d3424,He need not have called a taxi.,need not,male.n.02 NEGATION <1 NECESSITY <1 call.v.05 Agent -1 Time +1 Theme +2 time.n.08 TPR now taxi.n.01
p99/d1413,I used to be fat.,used to,person.n.01 EQU speaker time.n.08 TPR now fat.a.01 Theme -2 Time -1
p18/d0828,I used to drink beer.,used to,person.n.01 EQU speaker time.n.08 TPR now drink.v.01 Agent -2 Time -1 Patient +1 beer.n.01
p00/d0850,She used to play tennis every Sunday.,used to,NEGATION <1 NEGATION <1 female.n.02 time.n.08 TPR now play.v.01 Agent -2 Time -1 Theme +1 Time +2 tennis.n.01 CONJUNCTION <2 time.n.08 DayOfWeek sunday
p12/d2274,Mary is used to Tom's moods.,used to,"female.n.02 Name ""Mary"" time.n.08 EQU now used_to.a.01 Agent -2 Time -1 Theme +2 male.n.02 Name ""Tom"" mood.n.01 Creator -1"
p56/d1961,I'm used to the noise.,used to,person.n.01 EQU speaker time.n.08 EQU now used_to.a.01 Agent -2 Time -1 Theme +1 noise.n.02
p01/d1775,She used to love him.,used to,female.n.02 time.n.08 TPR now love.v.03 Experiencer -2 Time -1 Stimulus +1 male.n.02
p59/d3193,Mary used to be a hairdresser.,used to,"female.n.02 Name ""Mary"" time.n.08 TPR now be.v.08 Theme -2 Time -1 Co-Theme +1 person.n.01 Role +1 hairdresser.n.01"
